encuesta_latitude,encuesta_longitude,est,id,zona
21.1760641,-86.8266955,Percepción Seguridad,2,Cancún
21.1694956,-86.8564729,Percepción Seguridad,2,Cancún
21.138007899999998,-86.8903566,Percepción Seguridad,2,Cancún
21.1788147,-86.86552320000001,Percepción Seguridad,2,Cancún
21.1822467,-86.8468738,Percepción Seguridad,2,Cancún
21.1508091,-86.8990171,Percepción Seguridad,2,Cancún
21.1620064,-86.8804363,Percepción Seguridad,2,Cancún
21.1446245,-86.9182478,Percepción Seguridad,2,Cancún
21.1504503,-86.8987215,Percepción Seguridad,2,Cancún
21.142955,-86.8558074,Percepción Seguridad,2,Cancún
21.178594699999998,-86.8655845,Percepción Seguridad,2,Cancún
21.1616097,-86.88130240000001,Percepción Seguridad,2,Cancún
21.1375163,-86.88932559999999,Percepción Seguridad,2,Cancún
21.1842936,-86.86778699999999,Percepción Seguridad,2,Cancún
21.1786329,-86.8453418,Percepción Seguridad,2,Cancún
21.151251600000002,-86.8990562,Percepción Seguridad,2,Cancún
21.1447043,-86.9180614,Percepción Seguridad,2,Cancún
21.1300315,-86.92484449999999,Percepción Seguridad,2,Cancún
21.1812621,-86.8738368,Percepción Seguridad,2,Cancún
21.1368382,-86.8899363,Percepción Seguridad,2,Cancún
21.1611017,-86.883925,Percepción Seguridad,2,Cancún
21.1523717,-86.8993717,Percepción Seguridad,2,Cancún
21.179108399999997,-86.84607640000002,Percepción Seguridad,2,Cancún
21.1818687,-86.87385069999999,Percepción Seguridad,2,Cancún
21.1502462,-86.86924609999998,Percepción Seguridad,2,Cancún
21.1445193,-86.90705279999999,Percepción Seguridad,2,Cancún
21.1762242,-86.82660849999999,Percepción Seguridad,2,Cancún
21.1443906,-86.9179816,Percepción Seguridad,2,Cancún
21.1453267,-86.90693809999999,Percepción Seguridad,2,Cancún
21.181701699999998,-86.8744199,Percepción Seguridad,2,Cancún
21.179219399999997,-86.84682959999999,Percepción Seguridad,2,Cancún
21.181504399999998,-86.8734426,Percepción Seguridad,2,Cancún
21.151583300000002,-86.8690841,Percepción Seguridad,2,Cancún
21.145875699999998,-86.9070454,Percepción Seguridad,2,Cancún
21.1449307,-86.9180021,Percepción Seguridad,2,Cancún
21.152125,-86.8994,Percepción Seguridad,2,Cancún
21.192068799999998,-86.8347349,Percepción Seguridad,2,Cancún
21.163745499999997,-86.8779744,Percepción Seguridad,2,Cancún
21.1441396,-86.9070453,Percepción Seguridad,2,Cancún
21.152916100000002,-86.8741371,Percepción Seguridad,2,Cancún
21.1771661,-86.8276239,Percepción Seguridad,2,Cancún
21.1445132,-86.9079652,Percepción Seguridad,2,Cancún
21.191927399999997,-86.8337787,Percepción Seguridad,2,Cancún
21.1643843,-86.877876,Percepción Seguridad,2,Cancún
21.179428100000003,-86.8465469,Percepción Seguridad,2,Cancún
21.1529109,-86.8741682,Percepción Seguridad,2,Cancún
21.1460318,-86.9181268,Percepción Seguridad,2,Cancún
21.144846100000002,-86.9080898,Percepción Seguridad,2,Cancún
21.1642598,-86.87802959999999,Percepción Seguridad,2,Cancún
21.1912175,-86.8355661,Percepción Seguridad,2,Cancún
21.177248300000002,-86.8275639,Percepción Seguridad,2,Cancún
21.182834399999997,-86.862996,Percepción Seguridad,2,Cancún
21.1444395,-86.90843620000001,Percepción Seguridad,2,Cancún
21.179754100000004,-86.84685379999999,Percepción Seguridad,2,Cancún
21.165187799999998,-86.8785249,Percepción Seguridad,2,Cancún
21.1534598,-86.87402420000001,Percepción Seguridad,2,Cancún
21.165654800000002,-86.87879079999999,Percepción Seguridad,2,Cancún
21.179738500000003,-86.8470257,Percepción Seguridad,2,Cancún
21.153443300000003,-86.8740766,Percepción Seguridad,2,Cancún
21.1796723,-86.847574,Percepción Seguridad,2,Cancún
21.1801483,-86.8470142,Percepción Seguridad,2,Cancún
21.1580583,-86.83913259999999,Percepción Seguridad,2,Cancún
21.158523300000002,-86.83878670000001,Percepción Seguridad,2,Cancún
21.152107100000002,-86.8684614,Percepción Seguridad,2,Cancún
21.179665300000003,-86.8665966,Percepción Seguridad,2,Cancún
21.152078,-86.8687747,Percepción Seguridad,2,Cancún
21.1609983,-86.9215558,Percepción Seguridad,2,Cancún
21.1787185,-86.873379,Percepción Seguridad,2,Cancún
21.182062,-86.86183009999999,Percepción Seguridad,2,Cancún
21.151177,-86.86794090000001,Percepción Seguridad,2,Cancún
21.1991807,-86.85747059999998,Percepción Seguridad,2,Cancún
21.181945300000002,-86.861874,Percepción Seguridad,2,Cancún
21.1795113,-86.865732,Percepción Seguridad,2,Cancún
21.1633543,-86.91680240000001,Percepción Seguridad,2,Cancún
21.178103699999998,-86.8428584,Percepción Seguridad,2,Cancún
21.178915,-86.8731167,Percepción Seguridad,2,Cancún
21.1653772,-86.8523965,Percepción Seguridad,2,Cancún
21.1687336,-86.87299820000001,Percepción Seguridad,2,Cancún
21.151091100000002,-86.86742209999998,Percepción Seguridad,2,Cancún
21.1989908,-86.8569721,Percepción Seguridad,2,Cancún
21.1634112,-86.91646,Percepción Seguridad,2,Cancún
21.1651767,-86.851865,Percepción Seguridad,2,Cancún
21.178777800000002,-86.87330779999999,Percepción Seguridad,2,Cancún
21.141877899999997,-86.8557239,Percepción Seguridad,2,Cancún
21.177148300000002,-86.84366490000001,Percepción Seguridad,2,Cancún
21.1633342,-86.9155959,Percepción Seguridad,2,Cancún
21.168773899999998,-86.87519240000002,Percepción Seguridad,2,Cancún
21.181674700000002,-86.8622401,Percepción Seguridad,2,Cancún
21.1988656,-86.857088,Percepción Seguridad,2,Cancún
21.1621332,-86.8278982,Percepción Seguridad,2,Cancún
21.1743535,-86.86886949999999,Percepción Seguridad,2,Cancún
21.155565799999998,-86.8383295,Percepción Seguridad,2,Cancún
21.1425558,-86.8556734,Percepción Seguridad,2,Cancún
21.1847453,-86.86811999999999,Percepción Seguridad,2,Cancún
21.1525335,-86.8680902,Percepción Seguridad,2,Cancún
21.186471100000002,-86.8749093,Percepción Seguridad,2,Cancún
21.165137100000003,-86.9154521,Percepción Seguridad,2,Cancún
21.1769299,-86.8435827,Percepción Seguridad,2,Cancún
21.1986105,-86.85675690000001,Percepción Seguridad,2,Cancún
21.1750844,-86.86779759999999,Percepción Seguridad,2,Cancún
21.1808986,-86.8611229,Percepción Seguridad,2,Cancún
21.1647457,-86.91536740000001,Percepción Seguridad,2,Cancún
21.1794254,-86.87344940000001,Percepción Seguridad,2,Cancún
21.1864674,-86.8745662,Percepción Seguridad,2,Cancún
21.155839999999998,-86.839125,Percepción Seguridad,2,Cancún
21.1506671,-86.84195559999999,Percepción Seguridad,2,Cancún
21.1528918,-86.8678467,Percepción Seguridad,2,Cancún
21.1657688,-86.8506878,Percepción Seguridad,2,Cancún
21.142138600000003,-86.8555593,Percepción Seguridad,2,Cancún
21.1849964,-86.8676504,Percepción Seguridad,2,Cancún
21.198430600000002,-86.85713270000001,Percepción Seguridad,2,Cancún
21.1642486,-86.82772259999999,Percepción Seguridad,2,Cancún
21.181291100000003,-86.8989565,Percepción Seguridad,2,Cancún
21.1504697,-86.8407947,Percepción Seguridad,2,Cancún
21.1512654,-86.8742426,Percepción Seguridad,2,Cancún
21.180637,-86.86146540000001,Percepción Seguridad,2,Cancún
21.1637866,-86.91633490000001,Percepción Seguridad,2,Cancún
21.186477,-86.874586,Percepción Seguridad,2,Cancún
21.1885025,-86.8359537,Percepción Seguridad,2,Cancún
21.175075399999997,-86.86697590000001,Percepción Seguridad,2,Cancún
21.1794109,-86.8734183,Percepción Seguridad,2,Cancún
21.1507597,-86.84131490000001,Percepción Seguridad,2,Cancún
21.1980125,-86.8570031,Percepción Seguridad,2,Cancún
21.182842800000003,-86.8465535,Percepción Seguridad,2,Cancún
21.165789399999998,-86.85073100000001,Percepción Seguridad,2,Cancún
21.163781,-86.9163318,Percepción Seguridad,2,Cancún
21.179797399999998,-86.83166240000001,Percepción Seguridad,2,Cancún
21.1509619,-86.8414816,Percepción Seguridad,2,Cancún
21.187082,-86.8745766,Percepción Seguridad,2,Cancún
21.163381,-86.8284355,Percepción Seguridad,2,Cancún
21.1850451,-86.8673498,Percepción Seguridad,2,Cancún
21.141954899999998,-86.8552217,Percepción Seguridad,2,Cancún
21.155666699999998,-86.83919499999999,Percepción Seguridad,2,Cancún
21.198096600000003,-86.85694409999999,Percepción Seguridad,2,Cancún
