1.-¿QUÉ USO LE DAN SUS VECINOS A LA SALINA?,,,,,,,,,
FOLIO,RESPUESTA,OPINION,,,,,,,
033,NO SE,,,,,,,,
034,SI ,,,,,,,,
035,SI ,,,,,,,,
036,SI ,,,,,,,,
037,SI ,,,,,,,,
038,NO,,,,,,,,
039,NO,,,,,,,,
040,SI ,,,,,,,,
041,SI ,,,,,,,,
042,SI ,,,,,,,,
043,SI ,,,,,,,,
044,SI ,,,,,,,,
045,SI ,,,,,,,,
046,SI ,,,,,,,,
047,NO SE,,,,,,,,
048,NO,,,,,,,,
049,SI ,,,,,,,,
050,SI ,,,,,,,,
051,SI ,,,,,,,,
052,SI ,,,,,,,,
053,SI ,,,,,,,,
054,SI ,,,,,,,,
055,SI ,,,,,,,,
